YEAR,WEEK,ALABAMA,ALASKA,ARIZONA,ARKANSAS,CALIFORNIA,COLORADO,CONNECTICUT,DELAWARE,DISTRICT OF COLUMBIA,FLORIDA,GEORGIA,HAWAII,IDAHO,ILLINOIS,INDIANA,IOWA,KANSAS,KENTUCKY,LOUISIANA,MAINE,MARYLAND,MASSACHUSETTS,MICHIGAN,MINNESOTA,MISSISSIPPI,MISSOURI,MONTANA,NEBRASKA,NEVADA,NEW HAMPSHIRE,NEW JERSEY,NEW MEXICO,NEW YORK,NORTH CAROLINA,NORTH DAKOTA,OHIO,OKLAHOMA,OREGON,PENNSYLVANIA,RHODE ISLAND,SOUTH CAROLINA,SOUTH DAKOTA,TENNESSEE,TEXAS,UTAH,VERMONT,VIRGINIA,WASHINGTON,WEST VIRGINIA,WISCONSIN,WYOMING
1967,38,8,1,4,7,177,8,20,12,-,14,10,1,1,15,6,8,3,14,15,2,17,22,33,11,13,23,4,-,-,-,24,4,60,7,-,26,2,6,28,6,5,-,7,51,9,-,7,8,9,1,-
1967,39,5,-,1,30,181,-,16,5,1,12,30,5,1,44,8,5,6,71,19,2,21,12,45,18,15,15,6,1,-,2,23,27,87,6,2,35,14,20,39,-,-,-,9,64,-,1,11,25,15,5,-
1967,40,11,1,6,6,182,-,8,12,1,33,16,-,-,25,21,6,-,12,14,7,12,20,36,8,20,42,11,2,-,-,27,11,73,8,-,23,11,5,28,8,7,-,18,59,2,1,5,16,4,5,-
1967,41,-,-,10,10,166,-,15,-,1,6,15,-,1,4,10,5,4,16,27,1,8,15,34,9,15,16,2,3,3,2,21,13,49,5,1,45,4,20,14,4,4,1,14,40,-,-,13,11,9,4,-
1967,42,3,1,5,13,185,4,15,6,1,7,18,-,1,62,14,7,4,24,13,2,13,19,29,8,10,24,3,2,-,2,34,6,89,7,-,27,15,13,34,5,3,-,26,41,5,-,13,20,10,2,-
1967,43,9,-,4,4,166,19,16,3,1,21,5,1,1,18,18,1,6,23,12,2,22,13,53,10,8,12,2,3,-,-,27,3,55,2,-,31,8,11,26,1,2,-,13,56,1,-,20,13,13,5,1
1967,44,2,-,11,7,168,1,7,8,1,8,50,4,1,39,9,7,3,11,10,6,9,9,37,10,9,19,5,2,-,1,20,6,101,8,-,25,1,9,34,2,1,1,14,29,-,-,13,-,10,9,2
1967,45,1,-,3,9,168,3,8,2,1,12,6,-,-,32,16,5,6,21,12,1,20,17,23,3,7,24,3,2,-,-,20,26,71,9,2,37,1,14,32,1,9,-,17,35,3,-,16,7,16,3,1
1967,46,7,-,4,1,180,11,27,2,-,11,41,3,-,58,5,10,3,52,9,4,9,10,33,15,6,18,4,3,-,-,19,4,65,5,2,34,3,16,40,3,6,-,11,58,1,1,4,10,16,12,-
1967,47,3,4,9,4,112,7,13,1,-,8,2,1,3,18,27,7,6,16,19,1,15,9,36,7,14,2,-,1,1,-,65,5,71,1,-,46,3,9,19,5,-,-,17,38,2,-,14,32,7,11,-
